Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent)
36.77161743431175,-118.34197998046876,0,0,0.0,2814,9232,13,99,Forest,30
36.7716422081116,-118.34224318472478,24,78,0.014683842196149714,2819,9249,16,103,Shrub,24
36.77191125003642,-118.34229689393719,54,177,0.03353006685903087,2824,9265,25,108,Shrub,13
36.77218473445073,-118.3422803191242,84,277,0.052469424460540225,2829,9281,26,109,Shrub,13
36.7724561732058,-118.34232436220097,115,377,0.07140292480544283,2833,9295,22,96,Shrub,14
36.772723178242586,-118.34233083773793,145,475,0.08987530597830909,2835,9301,18,105,Shrub,13
36.77297386519664,-118.34219336424701,175,575,0.10881466370100401,2838,9311,18,123,Developed,24
36.773243958001416,-118.34215032905219,205,674,0.12764868966389564,2841,9321,20,117,Shrub,22
36.77347712498286,-118.3421743853981,231,759,0.14383196971000908,2843,9327,20,102,Developed,21
36.77372471618627,-118.34210610507117,260,852,0.1613708730588887,2843,9327,15,68,Shrub,25
36.77393638190781,-118.34221745787528,285,936,0.17725873804299025,2846,9337,17,58,Developed,25
36.77407986921279,-118.34250568611068,316,1035,0.19606122678019625,2850,9350,25,80,Shrub,28
36.774289651294,-118.34272166524224,346,1135,0.21486969684234825,2855,9367,18,84,Shrub,26
36.774521802173695,-118.34290195319059,376,1234,0.23378104388416227,2860,9383,16,81,Forest,20
36.77475851271241,-118.34307375922675,407,1334,0.2527204077713443,2866,9403,22,92,Forest,20
36.77499986728138,-118.34323049138985,437,1434,0.2715384575740514,2870,9416,23,94,Shrub,15
36.7752682436145,-118.34324184675846,467,1532,0.29011286553447047,2874,9429,20,84,Forest,25
36.77520753068192,-118.34334037051428,478,1568,0.297000076794649,2877,9439,19,88,Forest,25
36.77496075276165,-118.34346927558903,508,1666,0.3155037335292215,2879,9446,22,88,Shrub,15
36.77468892832395,-118.343451991312,538,1765,0.3343303623523042,2882,9455,23,88,Shrub,0
36.77444749639119,-118.34354750120293,566,1858,0.3518487090009514,2883,9459,26,84,Shrub,0
36.77418434777866,-118.34348288535394,596,1956,0.3703995871595421,2886,9469,29,75,Shrub,28
36.77394856485813,-118.34348097592505,622,2042,0.38670917447701325,2892,9488,33,74,Forest,27
36.773858481440186,-118.34380377483933,653,2142,0.4056485300410483,2899,9511,16,121,Forest,30
36.77383265526239,-118.34414119933308,683,2241,0.42442901727459403,2906,9534,24,161,Shrub,21
36.7738615842478,-118.34448111491159,714,2341,0.44336837590314626,2909,9544,28,174,Shrub,20
36.77374227505036,-118.34465249574102,734,2407,0.4559489913183376,2909,9544,28,161,Shrub,20
36.773620857658386,-118.34495753423215,764,2507,0.4748216828041015,2909,9544,15,135,Shrub,15
36.77340645437709,-118.34513264199285,793,2601,0.49254372393035906,2907,9537,12,112,Shrub,15
36.77315230624694,-118.34511403710651,821,2694,0.5101534974465768,2906,9534,19,85,Shrub,11
36.77294697631555,-118.34489007285285,851,2793,0.5290136336699355,2907,9537,19,25,Shrub,19
36.772767644370944,-118.34463201258292,882,2893,0.5479427620360466,2909,9544,18,31,Shrub,14
36.77254450583765,-118.34443859098242,912,2992,0.5667331613024335,2912,9554,17,42,Shrub,7
36.772285565557745,-118.34443203913894,941,3087,0.5846478921693674,2918,9573,17,62,Shrub,0
36.77203096887547,-118.34455374116469,971,3187,0.603505348316514,2927,9603,31,76,Shrub,0
36.77180392493431,-118.34473954653181,1001,3286,0.6222836959180633,2935,9629,28,103,Shrub,0
36.77172372097191,-118.34492107332282,1020,3346,0.6337701999509606,2940,9646,18,122,Shrub,14
36.77197876900576,-118.34480229963066,1050,3446,0.6525995054752199,2940,9646,23,80,Shrub,0
36.77223652948959,-118.3448512522009,1079,3541,0.6706340787059426,2938,9639,34,47,Shrub,0
36.77237274588502,-118.34504596993612,1102,3617,0.6849579824924166,2940,9646,34,32,Forest,18
36.772108211060285,-118.34502870351679,1132,3713,0.7032810051561496,2945,9662,17,62,Shrub,18
36.77190030195476,-118.34522704194359,1161,3809,0.7213803323616045,2952,9685,20,80,Shrub,0
36.771776327433116,-118.34553101770065,1191,3909,0.7402802682927896,2959,9708,12,81,Shrub,0
36.77169337187381,-118.34585104687699,1221,4007,0.75891759636119,2964,9724,19,124,Shrub,27
