Lat,Lng,Distance (meters),Distance (feet),Distance (miles),Elevation (meters),Elevation (feet),Slope (degrees),Aspect (degrees),Landcover,Canopy (percent),Linear Grade (percent)
37.22672836686351,-118.62854641807128,0,0,0.0,2857,9373,5,107,Forest,71,11.17
37.226634582197754,-118.62880764610061,25,83,0.01578250245806914,2859,9380,8,112,Forest,70,11.39
37.226677684580686,-118.62913897897714,55,181,0.034273259951197274,2863,9393,6,119,Forest,61,14.1
37.22681920216229,-118.62942320936992,85,278,0.052736360979118276,2867,9406,9,113,Forest,66,14.17
37.22685334859496,-118.6297423128315,113,372,0.07046957444828261,2871,9419,10,113,Forest,57,17.32
37.22699134187337,-118.63003872217692,144,472,0.08938049972063708,2876,9436,12,114,Forest,62,17.34
37.22691523997878,-118.63033915113704,172,564,0.10674430254839108,2880,9449,15,91,Forest,67,17.69
37.22692433106722,-118.63062910808964,198,648,0.12272657685710817,2885,9465,10,106,Forest,28,15.26
37.2271531409942,-118.6307971901657,227,745,0.14106208657989117,2889,9478,11,127,Forest,28,14.76
37.22739230447761,-118.63094722626867,257,842,0.15955420374323168,2894,9495,16,140,Forest,25,22.78
37.2275180367445,-118.6311448728905,279,916,0.1734874398834718,2899,9511,13,126,Forest,27,12.6
37.22745464613824,-118.6314618872627,308,1011,0.19148960310374064,2902,9521,14,152,Forest,26,16.1
37.22744229030683,-118.63171187744771,330,1084,0.20528466403954437,2906,9534,11,100,Shrub,23,10.93
37.227339421052065,-118.63202120175885,360,1181,0.22374739719512424,2910,9547,14,113,Forest,26,11.86
37.227285911745646,-118.63235561500791,390,1281,0.24253392545803032,2914,9560,11,63,Forest,43,20.57
37.22719,-118.63266193066204,419,1376,0.26066229737261254,2920,9580,14,94,Forest,62,18.64
37.22725822936662,-118.63298541266764,449,1474,0.2790930637890292,2925,9596,11,115,Forest,32,18.35
37.22733654231976,-118.63329217666819,478,1567,0.29683569713934327,2930,9613,15,168,Forest,49,15.67
37.22739,-118.63361332807908,507,1663,0.314905956147555,2934,9626,12,127,Forest,49,13.65
37.22731538585376,-118.63392077573224,535,1756,0.33260815917911024,2938,9639,10,115,Forest,49,14.86
37.22741251060665,-118.63424034034243,566,1856,0.3514472443761832,2943,9656,13,119,Forest,48,18.94
37.22760577447096,-118.63446467749236,595,1952,0.36965083745595884,2948,9672,13,169,Forest,48,17.4
37.22783686504996,-118.63462108131245,624,2048,0.38780883738530175,2953,9688,13,75,Forest,37,16.13
37.22803153880597,-118.6348490399254,654,2145,0.4062195565329453,2958,9705,15,134,Shrub,31,16.73
37.22812610847025,-118.63516373497296,684,2243,0.4247450270557612,2963,9721,14,151,Forest,45,15.84
37.228334311450425,-118.63537935648867,714,2341,0.44341136581114604,2967,9734,12,178,Forest,54,10.59
37.228495213134224,-118.63564251804965,743,2438,0.4616853877211151,2971,9747,16,176,Forest,54,11.44
37.22867185227355,-118.63585864584087,770,2528,0.4787433852087772,2974,9757,18,174,Forest,48,9.66
37.22870901922773,-118.63619934292085,801,2628,0.49768274416255487,2977,9767,9,112,Forest,51,8.24
37.22869981446819,-118.63653617191517,831,2726,0.5162446882560392,2979,9774,5,122,Forest,60,7.49
37.22878247007956,-118.63673750598409,851,2792,0.5287204350590196,2981,9780,7,174,Forest,60,6.41
37.22892,-118.63694785538326,875,2871,0.5437108181118623,2983,9787,10,159,Forest,46,7.86
37.22881091158938,-118.63724225149029,904,2965,0.5615946294431148,2985,9793,7,134,Forest,65,7.14
37.228814528162026,-118.63758411849452,934,3065,0.5804247561173073,2987,9800,6,120,Forest,64,7.49
37.22885787393513,-118.63792275638919,965,3164,0.5993148313745558,2989,9806,7,183,Forest,62,3.33
37.22878863862774,-118.63825453790753,995,3264,0.6182049744460928,2991,9813,5,93,Forest,65,6.94
37.228766248244305,-118.63858398550349,1024,3360,0.6364154224145719,2993,9820,9,113,Forest,64,11.72
37.228943674046455,-118.63884589978286,1055,3460,0.6553547812041053,2997,9833,7,87,Forest,30,12.19
37.229050719523144,-118.63915773727146,1085,3559,0.6740574488816238,3000,9843,8,132,Forest,54,15.39
37.22922194210344,-118.63941844998274,1115,3657,0.6926704859513004,3005,9859,8,94,Shrub,24,15.79
37.229287960570986,-118.63974986856994,1145,3757,0.7114859548473437,3010,9875,10,122,Shrub,25,18.11
37.22941666544203,-118.6400266525834,1173,3850,0.7291390602680385,3014,9888,12,110,Shrub,17,14.53
37.22939905920244,-118.64035522116566,1203,3946,0.7472758994473514,3018,9902,10,124,Shrub,16,12.16
37.229304132545565,-118.64065290418601,1231,4039,0.7649367811744241,3022,9915,12,73,Shrub,35,14.74
37.229279788734715,-118.64099084506114,1261,4138,0.7836249112163743,3026,9928,12,61,Forest,28,14.1
37.22927703985711,-118.6413327138554,1291,4237,0.8024543184752423,3031,9944,10,63,Shrub,22,19.28
37.229397842193706,-118.64159458533838,1318,4325,0.819122641471801,3036,9961,26,98,Shrub,28,20.07
37.22930379681644,-118.64190964341462,1348,4423,0.8376537840006587,3042,9980,19,146,Forest,46,39.11
37.22937009882517,-118.64202495058741,1361,4464,0.8454871863548685,3046,9993,15,133,Forest,46,15.24
37.22955912761949,-118.64213814619141,1384,4541,0.8599726095487317,3050,10007,2,184,Shrub,28,9.19
37.22962684203672,-118.64247052611017,1414,4640,0.8788681022662831,3054,10020,12,119,Forest,40,24.3
37.22981546630466,-118.64263355158097,1440,4724,0.8947062146080703,3060,10039,25,115,Forest,25,22.26
37.23002216533364,-118.64277806293418,1466,4810,0.9110696650404766,3065,10056,21,72,Shrub,18,19.59
37.22984708969789,-118.64299033836623,1493,4899,0.927902170258676,3070,10072,22,142,Shrub,18,13.84
37.22975784311887,-118.64330986942201,1523,4998,0.946551594619648,3073,10082,17,152,Shrub,14,6.72
37.229697271015866,-118.64364091217145,1553,5097,0.9652589120163326,3076,10092,14,135,Shrub,31,9.13
37.229582519662706,-118.64393259831355,1582,5191,0.9831774113561722,3079,10102,15,128,Forest,38,12.79
37.22973995870422,-118.64412,1606,5270,0.9981814334950256,3082,10112,11,178,Forest,49,10.74
37.229998708285095,-118.64401968814762,1637,5369,1.016912559652989,3085,10121,7,155,Forest,52,6.18
37.23020584710876,-118.64379479456764,1667,5469,1.0358519239210893,3087,10128,14,159,Shrub,29,5.63
37.230428647683524,-118.64367783708718,1694,5558,1.0525551444495587,3089,10135,9,172,Shrub,29,10.47
37.23062797620432,-118.64387134919713,1722,5650,1.0699816340780766,3092,10144,9,219,Shrub,29,11.1
37.23076293744696,-118.64360390025459,1750,5742,1.0874202887128555,3096,10157,10,181,Shrub,24,17.3
37.230964394371114,-118.6437226110547,1775,5823,1.1028126572136854,3100,10171,14,202,Shrub,24,13.32
37.231143335634464,-118.64396750517753,1804,5920,1.1211186006081135,3103,10180,19,188,Shrub,22,13.34
37.231297746223596,-118.64424807452173,1834,6019,1.1399026462109485,3107,10194,20,187,Shrub,16,13.73
37.23145654779261,-118.64452133202965,1864,6117,1.1585342631123599,3111,10207,15,183,Shrub,19,11.23
37.23160477640045,-118.64479347050056,1894,6213,1.1766933743298582,3114,10217,14,189,Shrub,11,9.59
37.23168105448687,-118.6451108576897,1923,6309,1.1949519000636686,3117,10226,16,176,Shrub,14,5.44
37.23168540307673,-118.64543350769182,1952,6403,1.2127238499248063,3119,10233,17,194,Shrub,13,10.05
37.231822760322785,-118.64572983056487,1982,6503,1.2316075876697237,3123,10246,19,178,Shrub,17,12.63
37.23193066385303,-118.64604323485602,2012,6602,1.250412400291228,3126,10256,18,157,Shrub,10,13.1
37.23195053861498,-118.64638053861498,2042,6701,1.2690395718323082,3130,10269,19,182,Shrub,9,13.81
37.23200498384449,-118.64667162897048,2069,6787,1.2855072283593985,3134,10282,18,158,Shrub,9,12.84
37.232129023679036,-118.64696124227063,2098,6883,1.3036183736350682,3137,10292,14,166,Shrub,0,14.23
37.23216317921437,-118.64725863584287,2125,6970,1.3201662429497982,3141,10305,13,146,Shrub,8,12.81
37.23234935796665,-118.64703697152234,2153,7064,1.3379109082504639,3144,10315,17,179,Shrub,8,27.22
37.23245162499438,-118.64707406248597,2165,7103,1.3452738073681558,3148,10328,15,187,Shrub,0,13.77
37.2325475233475,-118.64739266343246,2195,7202,1.364032034588915,3152,10341,20,163,Shrub,9,33.82
37.23259278007207,-118.6474936185536,2205,7236,1.370412610260704,3156,10354,15,159,Shrub,9,12.36
37.23280055751861,-118.64727700775437,2236,7334,1.389090550936089,3159,10364,17,167,Shrub,9,11.61
37.23284723451357,-118.64695376106332,2265,7430,1.4071829643523943,3162,10374,19,199,Shrub,0,12.46
37.232992455963526,-118.64716056995441,2289,7510,1.4223692406333126,3166,10387,17,180,Shrub,9,12.63
37.23306589001841,-118.64743437060753,2315,7594,1.4382806355884892,3170,10400,16,150,Shrub,10,15.14
37.23307,-118.64777817229458,2345,7694,1.457216719514166,3173,10410,20,150,Shrub,0,31.25
37.23314864234601,-118.6477248724651,2355,7727,1.463397899149968,3177,10423,21,150,Shrub,0,12.12
37.23334615320671,-118.64748669760367,2386,7827,1.4823372575845601,3180,10433,22,157,Shrub,10,11.0
37.23346122090671,-118.64717893425748,2416,7926,1.5010622273967322,3184,10446,18,179,Shrub,10,24.8
37.23350284954308,-118.64702339737971,2430,7973,1.510098989117441,3188,10459,22,219,Shrub,0,15.56
37.23363729198584,-118.64726009826201,2456,8058,1.5261116791190725,3191,10469,24,159,Shrub,0,12.78
37.233616873130366,-118.64760293037733,2487,8158,1.5450448466288906,3195,10482,27,160,Shrub,10,13.32
37.23360675490613,-118.64794241670208,2517,8257,1.5637540999464734,3199,10495,24,183,Shrub,0,11.66
37.2336876498004,-118.6482644392659,2547,8355,1.5823502995563716,3202,10505,20,166,Shrub,0,10.19
37.23358403458586,-118.6485736887273,2576,8452,1.6008278800483942,3206,10518,23,137,Shrub,0,11.66
37.233513875590425,-118.64889535905853,2606,8549,1.6191955873612753,3209,10528,23,151,Shrub,0,12.6
37.23339043693642,-118.64918369331889,2635,8645,1.6372247414351295,3213,10541,29,125,Shrub,0,10.22
37.23322017766077,-118.64944931822959,2665,8744,1.6560047853737225,3215,10548,21,142,Barren,0,3.44
37.23306899540971,-118.64973604318848,2696,8844,1.6749441395687918,3216,10551,14,156,Shrub,0,0.14
37.23294902777121,-118.65004236126207,2726,8943,1.6937442963352678,3217,10554,12,163,Shrub,0,3.57
37.23284288781014,-118.65028999999998,2751,9025,1.709232948427433,3220,10564,16,142,Shrub,11,28.13
37.23275736814008,-118.65051221097588,2773,9097,1.7228253773888986,3225,10581,31,73,Shrub,9,20.17
37.23249829128783,-118.65048475229436,2802,9191,1.7408095678680626,3232,10604,16,69,Shrub,10,34.66
37.23233226715938,-118.65065244280207,2825,9269,1.7555462753973963,3236,10617,46,87,Shrub,11,4.97
37.23208092349447,-118.65077347858492,2855,9368,1.7741659308127466,3238,10623,41,127,Shrub,0,0.49
37.23184784035603,-118.65095393004694,2886,9468,1.7931052881416711,3237,10620,46,120,Shrub,0,-8.41
37.231593564105786,-118.65107219963116,2916,9567,1.8118610549338034,3239,10627,21,88,Shrub,0,11.85
37.23135312826774,-118.6511272992914,2943,9656,1.8287667195862625,3243,10640,26,76,Shrub,10,28.45
37.2312382316299,-118.65139272493948,2970,9744,1.8454054262542319,3249,10659,20,89,Shrub,0,25.06
37.231066585017885,-118.65156900864044,2995,9825,1.8607423923649664,3255,10679,11,131,Shrub,0,22.82
37.230907547754676,-118.65184613061331,3025,9924,1.8795559284387298,3260,10696,17,103,Grassland,0,15.58
37.230816690070256,-118.65211669007026,3051,10009,1.8957278199677396,3264,10709,5,211,Grassland,0,10.63
37.23102,-118.65202833137994,3075,10088,1.9106090270944045,3267,10719,18,132,Shrub,0,16.49
37.231191592872264,-118.65209581277718,3095,10154,1.92304644910268,3271,10732,14,114,Shrub,0,13.61
37.23133888073036,-118.65225085532843,3116,10224,1.9363395084960207,3274,10741,8,132,Shrub,0,10.86
37.23159628072401,-118.6522607438552,3145,10318,1.9541523453963665,3277,10751,8,197,Shrub,0,11.3
37.23151039919937,-118.6525504058713,3172,10408,1.9711751848196064,3280,10761,18,122,Shrub,0,7.45
37.23135759385384,-118.65279481229231,3200,10498,1.9882894275321932,3281,10764,18,150,Shrub,0,1.0
37.23130287728297,-118.65307043118054,3225,10581,2.003933473579753,3281,10764,8,210,Shrub,0,-3.8
37.23137,-118.65339639675938,3255,10679,2.0224762376392986,3280,10761,13,198,Shrub,0,-12.48
37.23126902229981,-118.65366811893233,3281,10766,2.038990730250237,3278,10755,16,187,Shrub,12,-5.0
37.23134008332056,-118.65400012498083,3312,10866,2.0579246444946806,3277,10751,26,225,Shrub,0,-2.69
37.231524815831314,-118.65425291781023,3342,10966,2.0768218921409054,3276,10748,23,212,Shrub,0,0.85
37.23172876809509,-118.65448236410697,3373,11066,2.0957612570783035,3276,10748,24,222,Shrub,0,0.62
37.23190055838916,-118.6547415355702,3403,11164,2.114333599851698,3276,10748,31,216,Shrub,11,-1.36
37.23205385746379,-118.65502326135794,3433,11263,2.133126455313972,3276,10748,24,220,Shrub,12,-1.74
37.232216802177184,-118.65529853089933,3463,11363,2.1520171420592273,3274,10741,23,217,Shrub,15,-6.8
37.23235708477458,-118.65559386268333,3494,11463,2.170956499929555,3273,10738,20,222,Shrub,15,-4.13
37.232417209395045,-118.65592542661929,3524,11562,2.189684267744755,3273,10738,11,161,Shrub,10,0.61
37.23243931485286,-118.65626143959605,3554,11660,2.2082524960564633,3272,10735,9,213,Shrub,0,-0.1
37.23243848753763,-118.65659672205496,3584,11757,2.226717515065006,3272,10735,15,173,Shrub,0,-0.78
37.2323640268967,-118.6569276582369,3614,11857,2.2456568710335754,3273,10738,6,155,Shrub,0,4.38
37.232476714495085,-118.65721929289586,3643,11951,2.263509510267158,3274,10741,8,170,Shrub,0,6.14
37.23260933256988,-118.65751799770963,3673,12051,2.2823447710426055,3275,10745,9,184,Shrub,0,7.6
37.23267990514556,-118.65784948778604,3703,12151,2.301242175504385,3277,10751,10,201,Shrub,11,7.6
37.23276859741007,-118.65816503031175,3733,12248,2.3196710257810955,3280,10761,7,152,Shrub,0,12.99
37.232878317752665,-118.6584589721409,3762,12342,2.337549897713168,3283,10771,13,149,Shrub,10,11.3
37.23286854418413,-118.65880200174684,3792,12442,2.3564534683869347,3285,10778,10,150,Shrub,8,3.06
37.23277214995816,-118.65910635046025,3821,12537,2.3744922218039792,3287,10784,15,148,Shrub,0,4.04
37.23273,-118.65943702228837,3851,12635,2.392935066063846,3288,10787,10,214,Shrub,0,-0.11
37.23290170712959,-118.65968986426951,3881,12731,2.411236995188553,3289,10791,21,220,Shrub,0,2.75
37.2329686660205,-118.65999933785648,3909,12825,2.428898559604889,3289,10791,14,171,Grassland,0,-1.61
37.233102609984655,-118.66021260998465,3933,12904,2.4438583103491243,3289,10791,15,229,Grassland,7,-0.4
37.23325351187757,-118.66049103732952,3963,13002,2.4624074597023666,3290,10794,5,195,Shrub,20,6.59
37.23329980327138,-118.66081613118958,3992,13098,2.4805951569310727,3290,10794,38,152,Shrub,15,-2.27
37.23329237101756,-118.66115632271352,4022,13197,2.49933728209218,3290,10794,8,171,Shrub,16,1.82
37.23346898378526,-118.66141403879355,4052,13295,2.518063753636269,3291,10797,8,177,Shrub,16,3.84
37.23360580737847,-118.66171021721642,4083,13395,2.5369217309559495,3292,10801,5,205,Shrub,25,2.65
37.23377234637813,-118.66197696728929,4113,13494,2.5555901434498307,3293,10804,5,211,Shrub,21,2.6
37.2339344338271,-118.66225227647726,4143,13593,2.5744469886191115,3294,10807,4,198,Shrub,27,3.07
37.23416122660046,-118.66243122660049,4173,13691,2.59297309344031,3294,10807,5,234,Shrub,18,3.2
37.2343223082295,-118.66270391720712,4203,13790,2.611672583058016,3296,10814,6,173,Shrub,28,5.21
37.23453308367119,-118.66288878968706,4232,13884,2.629455072170072,3297,10817,7,228,Shrub,20,3.43
37.23475934069775,-118.66307934069775,4262,13983,2.64829795048102,3298,10820,5,220,Shrub,28,2.5
37.23497850282294,-118.66328496785346,4292,14083,2.667220098760874,3299,10823,4,192,Shrub,31,4.49
37.23519614961634,-118.66348459846535,4322,14181,2.6858617150726967,3301,10830,7,179,Shrub,21,12.24
37.23512463408423,-118.6637667246677,4349,14267,2.7021671145393715,3304,10840,14,77,Shrub,24,14.92
